,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1
58983,2.0,1.0,49.0,42.0,-1.527927728062661
58984,3.0,2.0,60.0,55.0,-0.3729540539899471
58985,3.0,2.0,81.0,71.0,0.20993190410084736
58986,3.0,2.0,160.0,63.0,1.01774530476382
58987,6.0,4.0,305.0,224.0,7.664000149117095
58988,3.0,2.0,73.0,64.0,-0.023168286460380234
58989,1.0,1.0,27.0,27.0,-2.3812148472145633
58990,2.0,1.0,54.0,49.0,-1.110690736795795
58991,2.0,1.0,41.0,38.0,-1.489074128058887
58992,3.0,2.0,76.0,68.0,0.14537715439346952
58993,1.0,1.0,31.0,26.0,-2.3435563235591106
58994,3.0,2.0,48.0,43.0,-0.315041039577147
58995,1.0,1.0,35.0,31.0,-2.2313370298487185
58996,3.0,2.0,64.0,60.0,0.05760281514260085
58997,2.0,1.0,34.0,32.0,-1.8525359119948985
58998,2.0,1.0,46.0,46.0,-1.5696814555104737
58999,2.0,1.0,38.0,38.0,-1.7370998830216935
59000,1.0,1.0,39.0,34.0,-2.0572257689119
59001,1.0,1.0,22.0,22.0,-2.5879503974906912
59002,1.0,1.0,35.0,32.0,-2.0083631539849742
59003,2.0,1.0,39.0,39.0,-1.695931696037286
59004,3.0,2.0,131.0,81.0,1.574155812909059
59005,3.0,2.0,63.0,63.0,-0.27159402804773974
59006,4.0,3.0,81.0,38.0,0.5648150295447586
59007,3.0,2.0,72.0,70.0,0.37502532032401253
59008,1.0,1.0,57.0,53.0,-1.5916681468883354
59009,4.0,3.0,93.0,68.0,1.381957032525064
59010,1.0,1.0,28.4,20.0,-2.5162423503990046
59011,4.0,3.0,62.0,56.0,0.718179402104789
59012,4.0,3.0,105.0,97.0,2.1546686289397283
59013,4.0,3.0,97.0,56.0,1.0033889966940137
59014,3.0,2.0,44.0,44.0,-0.8352902127869887
59015,2.0,1.0,79.0,64.7,-0.7896508825542449
59016,3.0,2.0,69.0,64.0,0.2547764398012879
59017,3.0,2.0,102.0,91.0,1.889989922552665
59018,3.0,1.0,113.0,77.0,0.5812557952487271
59019,2.0,1.0,32.0,31.0,-1.9184062778503355
59020,1.0,1.0,37.0,32.0,-2.1857256082717713
59021,2.0,1.0,42.0,39.0,-1.5817561040606367
59022,3.0,2.0,112.0,79.0,1.4644408807750064
59023,3.0,2.0,63.0,54.0,-0.2652679786237328
59024,3.0,2.0,65.0,56.0,-0.1932379902986834
59025,1.0,1.0,52.0,37.0,-1.8752673349193023
59026,2.0,1.0,50.0,45.0,-1.4405285955539957
59027,2.0,1.0,33.0,33.0,-1.8913331101435793
59028,5.0,4.0,234.0,148.0,4.697791053412294
59029,2.0,1.0,51.0,51.0,-1.4032096331445683
59030,1.0,1.0,32.0,28.0,-2.4291251056360847
59031,2.0,1.0,48.0,42.0,-1.4787412889837526
59032,2.0,1.0,50.0,44.0,-1.2817766392184027
59033,2.0,1.0,44.0,44.0,-1.3849286036019726
59034,2.0,1.0,53.0,53.0,-1.220918537606097
59035,1.0,1.0,61.0,40.0,-1.394479206827126
59036,2.0,1.0,42.0,42.0,-1.5625703002960953
59037,2.0,1.0,65.0,60.0,-0.4164662476851899
59038,1.0,1.0,30.0,30.0,-2.1253451310568225
59039,3.0,2.0,64.0,36.0,-0.41307302010428243
59040,3.0,2.0,60.0,55.0,-0.23486478876966208
59041,6.0,4.0,229.1,186.0,6.237323523777583
59042,1.0,1.0,37.0,37.0,-1.8185921887324603
59043,2.0,1.0,67.0,65.0,-0.1394957962262033
59044,4.0,2.0,149.0,134.0,3.5704063646647164
59045,5.0,4.0,185.0,175.0,5.404087627319501
59046,2.0,1.0,48.0,41.0,-1.345537110343096
59047,4.0,3.0,80.0,80.0,1.405172716942439
59048,4.0,3.0,89.0,83.0,1.9309606072222352
59049,3.0,2.0,67.0,67.0,-0.12975395199813344
59050,3.0,2.0,63.0,56.0,-0.15000498359159364
59051,4.0,3.0,99.0,99.0,1.9140596314940705
59052,3.0,2.0,68.0,63.0,-0.15981981187537533
59053,4.0,2.0,68.0,68.0,0.6698087846997489
59054,6.0,4.0,281.0,140.0,5.900320086463507
59055,2.0,1.0,49.7,36.0,-1.540318744355576
59056,2.0,1.0,32.0,32.0,-1.7677954794678372
59057,3.0,2.0,102.0,82.0,0.767370353729175
59058,4.0,3.0,142.3,103.0,2.616307691606059
59059,4.0,3.0,91.0,84.0,1.5100896094853493
59060,1.0,1.0,35.4,25.0,-2.3128307586988983
59061,3.0,2.0,101.2,81.0,0.5777634874422968
59062,1.0,1.0,56.6,42.0,-1.7526384595382076
59063,3.0,2.0,73.0,61.0,0.08016246717637501
59064,4.0,3.0,156.0,81.0,2.160461069224468
59065,1.0,1.0,35.0,31.0,-2.2338125856900395
59066,2.0,1.0,36.0,28.0,-1.8233861699690197
59067,2.0,1.0,102.0,44.0,-0.951141068817648
59068,1.0,1.0,40.0,40.0,-2.0717648866380767
59069,3.0,2.0,54.0,50.0,-0.4895202524020164
59070,2.0,1.0,53.0,50.0,-1.335847467335915
59071,2.0,1.0,58.0,41.0,-1.4206241517867984
59072,4.0,3.0,89.0,83.0,1.2508877715229831
59073,2.0,1.0,50.0,46.1,-1.208826230475457
59074,2.0,1.0,54.0,40.0,-1.443013750099815
59075,2.0,1.0,57.0,50.0,-1.2323502083718627
59076,4.0,3.0,90.0,84.0,1.3586373617555108
59077,3.0,2.0,104.0,84.8,0.8675818832861685
59078,6.0,4.0,211.0,184.0,6.395354997397225
59079,2.0,1.0,85.0,55.0,-0.8519363603591332
59080,2.0,1.0,71.0,61.0,-0.6394052370748567
59081,3.0,2.0,75.0,62.5,0.21453767820926178
59082,2.0,1.0,58.0,53.9,-0.71441574682173
59083,1.0,1.0,44.0,41.0,-2.0096475142007493
59084,5.0,4.0,190.0,190.0,5.204128631642529
59085,2.0,1.0,90.0,68.0,-0.4304030197679836
59086,2.0,1.0,43.0,43.0,-1.6291557394661322
59087,2.0,1.0,63.0,53.0,-1.0519719985467197
59088,1.0,1.0,41.0,35.0,-2.0082762292829126
59089,3.0,2.0,87.0,87.0,0.36869529557324937
59090,1.0,1.0,32.0,32.0,-2.319074151349709
59091,2.0,1.0,41.0,34.0,-1.707107917126608
59092,3.0,2.0,102.0,82.0,1.287424164344252
59093,3.0,2.0,74.0,56.0,0.005247731511246981
59094,1.0,1.0,30.0,30.0,-2.274597826834372
59095,3.0,2.0,80.0,71.0,0.12574921679227288
59096,2.0,1.0,38.0,38.0,-1.6782040970443615
59097,2.0,1.0,45.0,38.0,-1.490104869151889
