,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1,tiene_cochera,tiene_parrilla,tiene_pileta,tiene_terraza,expensas
40556,2.0,1.0,67.0,54.0,-0.8965241353669927,0,1,0,1,
40557,2.0,1.0,37.0,37.0,-1.6693247481332223,0,0,0,0,Con expensas
40558,1.0,1.0,35.0,30.0,-2.273086463131126,1,1,0,0,Con expensas
40559,1.0,1.0,59.0,44.0,-1.5809663872227484,0,1,0,1,
40560,2.0,1.0,52.0,47.0,-1.3990946039652552,0,0,0,0,Con expensas
40561,3.0,2.0,113.9,88.0,1.042837051853813,0,0,0,0,
40562,3.0,2.0,58.0,56.0,-0.3632860426030705,0,0,0,0,
40563,2.0,1.0,47.0,42.0,-1.45133849618095,1,1,1,0,
40564,3.0,2.0,75.0,68.0,0.486659915667003,0,0,0,0,
40565,3.0,2.0,62.0,60.0,-0.0366820751086174,0,0,0,0,Bajas expensas
40566,2.0,1.0,210.0,70.0,0.550040875003187,0,1,0,0,
40567,8.0,5.0,213.0,213.0,7.046493846825457,0,0,1,1,
40568,3.0,2.0,93.0,87.0,0.8957293886729943,1,0,0,0,Con expensas
40569,2.0,1.0,42.0,38.0,-1.5883284225651602,1,0,0,0,
40570,2.0,1.0,47.0,42.0,-1.591810246894003,0,0,0,0,
40571,3.0,2.0,77.0,74.0,0.287917281601647,0,0,0,0,
40572,4.0,3.0,105.0,78.0,1.6784403213843628,0,0,0,1,
40573,3.0,2.0,38.0,38.0,-0.8499915597442117,0,1,0,1,
40574,3.0,2.0,120.0,105.0,1.5181607559069643,1,0,0,1,Con expensas
40575,3.0,2.0,54.0,54.0,-0.4752594260392241,0,0,0,1,Bajas expensas
40576,2.0,1.0,40.2,39.0,-1.7228448234081557,0,0,0,0,
40577,1.0,1.0,36.0,36.0,-1.972412517415788,0,0,0,0,Con expensas
40578,1.0,1.0,26.0,24.0,-2.324601339647749,1,1,1,1,
40579,4.0,2.0,216.0,149.0,3.177538549682255,0,1,0,0,Con expensas
40580,3.0,2.0,185.0,140.0,2.2719757599364194,0,0,0,1,
40581,2.0,1.0,42.0,39.0,-1.515246279082689,1,1,1,1,Bajas expensas
40582,3.0,2.0,96.0,55.0,0.1734869590377799,0,1,0,1,Sin expensas
40583,2.0,1.0,46.0,42.0,-1.2923672650033688,1,0,1,0,
40584,4.0,3.0,136.0,68.0,1.4939143009959277,0,0,0,1,Con expensas
40585,3.0,2.0,65.0,60.0,-0.3296047173891648,0,1,1,1,Con expensas
40586,4.0,3.0,94.0,88.0,1.5399664335695522,1,0,0,0,
40587,2.0,1.0,40.0,32.0,-1.824088386117664,0,0,0,0,
40588,3.0,2.0,66.0,59.0,0.1276933589342019,1,0,0,0,
40589,5.0,4.0,150.0,130.0,3.2869311714765552,0,0,0,1,
40590,3.0,2.0,71.6,60.0,-0.0497297204277908,0,0,0,0,Con expensas
40591,3.0,2.0,75.0,65.0,0.1460089929355426,0,0,1,1,
40592,3.0,2.0,75.0,68.0,0.285015124410784,0,0,0,1,
40593,1.0,1.0,56.0,40.0,-1.8080743425048644,0,0,0,0,Con expensas
40594,2.0,1.0,95.0,56.0,-0.4673845165759777,1,1,0,1,
40595,1.0,1.0,33.0,30.0,-2.222550905359203,0,1,0,0,
40596,3.0,2.0,134.0,57.0,0.4644543637621325,0,0,0,1,Sin expensas
40597,2.0,1.0,39.0,36.0,-1.7013487450714324,0,0,1,1,
40598,1.0,1.0,49.2,29.0,-1.9456439089705748,0,0,0,0,
40599,4.0,4.0,235.0,220.0,5.869083813969308,1,1,0,1,
40600,4.0,3.0,148.0,120.0,3.4543404635072217,1,1,0,1,
40601,3.0,2.0,114.0,95.0,1.709739345464631,1,1,1,1,Con expensas
40602,2.0,1.0,28.0,28.0,-2.0140831005763062,0,0,0,0,Con expensas
40603,2.0,1.0,107.0,55.0,-0.6165835997684376,0,0,0,1,
40604,3.0,2.0,61.0,56.0,-0.0164348478894662,1,0,0,0,
40605,1.0,1.0,23.0,23.0,-2.443581741877044,0,0,0,1,
40606,2.0,1.0,41.0,39.0,-1.7580486330859229,0,0,0,1,Con expensas
40607,1.0,1.0,41.0,38.0,-2.07395211064552,0,0,0,0,Con expensas
40608,2.0,1.0,52.0,47.0,-1.2688094036939574,0,0,0,0,
40609,1.0,1.0,34.0,24.0,-2.331349603679764,0,0,0,1,Con expensas
40610,5.0,3.0,134.0,112.0,2.9262450992610995,1,1,0,1,
40611,1.0,1.0,32.0,32.0,-2.280815315087349,0,0,0,0,
40612,1.0,1.0,52.0,32.0,-1.932782407656423,0,1,0,1,
40613,2.0,1.0,60.8,42.0,-1.2013675384823692,0,0,0,1,
40614,3.0,2.0,72.0,72.0,-0.0507358484939703,0,0,0,0,
40615,4.0,3.0,112.0,112.0,2.6554882022698845,0,0,0,1,
40616,1.0,1.0,33.0,27.0,-2.279997421554869,0,0,0,1,
40617,4.0,2.0,84.0,74.0,0.6700002867939288,1,0,0,0,
40618,4.0,3.0,95.0,85.0,1.694448562580188,1,0,0,0,Con expensas
40619,4.0,3.0,166.0,166.0,3.5820703644881355,0,1,0,1,Sin expensas
40620,4.0,3.0,209.0,149.4,3.799473566950462,1,0,0,1,Sin expensas
40621,1.0,1.0,41.0,38.0,-2.0598720204534,0,1,0,1,Con expensas
40622,3.0,2.0,67.0,57.0,0.0438703753921131,1,0,0,1,
40623,2.0,1.0,41.6,33.0,-1.749607267756933,0,1,1,1,
40624,8.0,5.0,168.0,137.0,5.837194888372424,0,1,0,1,Con expensas
40625,4.0,3.0,75.0,69.0,1.0353936408467896,0,0,0,0,
40626,3.0,2.0,150.0,120.0,2.2505720427995395,1,0,0,1,Con expensas
40627,2.0,1.0,53.0,46.0,-1.39776367158485,0,1,1,0,
40628,6.0,4.0,255.0,210.0,6.737965348820917,0,1,0,1,
40629,4.0,3.0,107.0,95.0,1.8006340109989143,1,0,0,0,Con expensas
40630,2.0,1.0,52.0,49.0,-0.9871747141480192,1,1,0,1,Con expensas
40631,4.0,3.0,97.0,92.0,2.2950317891010736,1,0,0,0,
40632,3.0,2.0,66.0,63.0,0.5853496460703517,0,0,1,0,
40633,4.0,3.0,83.0,79.0,1.3019598447744432,0,0,0,0,Con expensas
40634,1.0,1.0,20.0,20.0,-2.5643615178927948,0,0,0,0,
40635,3.0,2.0,71.1,58.0,-0.105066505495985,0,0,0,0,
40636,2.0,1.0,50.0,45.0,-1.4437303743776522,0,0,0,1,
40637,3.0,2.0,65.0,47.0,-0.1903078282426606,1,1,1,1,
40638,3.0,2.0,66.0,62.0,-0.0297087884599635,0,1,0,0,
40639,3.0,2.0,85.0,68.0,0.3069992271116402,1,1,1,1,
40640,1.0,1.0,28.0,28.0,-2.316162185846502,0,0,0,0,
40641,1.0,1.0,68.0,34.0,-1.7374696922499104,0,1,0,0,
40642,2.0,1.0,50.0,50.0,-1.2976015354658172,0,0,0,0,Bajas expensas
40643,3.0,2.0,71.0,54.0,0.025011370201296,0,0,0,1,
40644,1.0,1.0,37.0,31.0,-2.17164747051696,0,1,1,0,
40645,4.0,2.0,106.0,106.0,1.9950231102090792,0,0,0,0,
40646,2.0,1.0,57.0,46.0,-1.4506201762230306,0,0,0,1,Con expensas
40647,4.0,3.0,62.0,57.0,0.6150406864640786,0,0,0,0,Con expensas
40648,3.0,2.0,76.0,76.0,0.3126363160631791,0,0,0,1,Con expensas
40649,4.0,1.0,100.0,100.0,0.9127694194921604,1,0,0,0,
40650,1.0,1.0,49.7,32.0,-1.8604511347509824,1,1,1,1,Bajas expensas
40651,4.0,3.0,148.0,141.0,3.383899588893169,0,0,0,0,
40652,2.0,1.0,32.0,32.0,-1.940320374855556,0,0,0,0,
40653,2.0,1.0,56.0,53.0,-1.241452479604838,0,1,1,0,Bajas expensas
40654,4.0,3.0,151.0,106.0,2.6920584778139904,1,1,1,1,
40655,1.0,1.0,42.0,42.0,-1.8981068597285544,0,0,0,0,
40656,1.0,1.0,30.0,30.0,-2.31566427999181,0,0,0,0,Con expensas
40657,6.0,4.0,140.0,140.0,3.5457679596907434,0,0,0,1,
40658,3.0,2.0,46.0,42.0,-0.7839851396813796,0,0,0,0,Con expensas
40659,3.0,2.0,105.0,95.0,0.8244490958969591,0,0,0,0,
40660,3.0,2.0,60.0,56.0,-0.2701585549418462,1,0,0,0,Con expensas
40661,3.0,2.0,74.0,60.0,0.2902710182773299,0,1,1,0,
40662,3.0,1.0,55.0,55.0,-0.968431491789432,0,0,0,0,
40663,2.0,1.0,42.0,42.0,-1.5955500644010832,0,0,0,0,Bajas expensas
40664,3.0,2.0,76.0,54.0,-0.0160249707996176,0,1,0,0,Bajas expensas
40665,2.0,1.0,52.0,44.0,-1.3618030008379238,1,1,1,0,Con expensas
40666,3.0,2.0,46.0,46.0,-0.7262409095537741,0,0,0,0,
40667,1.0,1.0,33.0,33.0,-2.160640832205274,0,0,0,1,
40668,1.0,1.0,41.0,36.0,-2.126436210267191,0,1,0,1,
40669,2.0,1.0,38.0,38.0,-1.704853097175817,1,0,0,0,Con expensas
40670,3.0,2.0,63.0,56.0,-0.3445125587222187,0,0,0,0,Con expensas
